Please note the meaning of the following symbols in the entries in this Annex :


**	To maintain backward compatibility, the corresponding PUA code points in 
	ISO/IEC 10646:2003 and Amendments 1 to 6 of those unified characters will be 
	reserved.

##	To maintain backward compatibility, the corresponding PUA code points in 
	ISO/IEC 10646:2003 and Amendments 1 to 6 of those characters not verifiable 
	will be reserved.

Compatibility points
of HKSCS-2008 in       Actual ISO 10646 code in   
ISO/IEC 10646:2003     ISO/IEC 10646:2003         Code points of
with Amendments 1 to 6  with Amendments 1 to 6      HKSCS-2008 in BIG-5
=====================  ========================   ===================
# Missing mappings from official tables; taken from HKSCS-2001 tables:
7881 7881 F9D6
92B9 92B9 F9D7
88CF 88CF F9D8
58BB 58BB F9D9
6052 6052 F9DA
7CA7 7CA7 F9DB
5AFA 5AFA F9DC
2554 2554 F9DD
2566 2566 F9DE
2557 2557 F9DF
2560 2560 F9E0
256C 256C F9E1
2563 2563 F9E2
255A 255A F9E3
2569 2569 F9E4
255D 255D F9E5
2552 2552 F9E6
2564 2564 F9E7
2555 2555 F9E8
255E 255E F9E9
256A 256A F9EA
2561 2561 F9EB
2558 2558 F9EC
2567 2567 F9ED
255B 255B F9EE
2553 2553 F9EF
2565 2565 F9F0
2556 2556 F9F1
255F 255F F9F2
256B 256B F9F3
2562 2562 F9F4
2559 2559 F9F5
2568 2568 F9F6
255C 255C F9F7
2551 2551 F9F8
2550 2550 F9F9
256D 256D F9FA
256E 256E F9FB
2570 2570 F9FC
256F 256F F9FD
FFED FFED F9FE
# End missing mappings added by Opera
E000                   20547                      FA40
E001                   92DB                       FA41
E002                   205DF                      FA42
E003                   23FC5                      FA43
E004                   854C                       FA44
E005                   42B5                       FA45
E006                   73EF                       FA46
E007                   51B5                       FA47
E008                   3649                       FA48
E009                   24942                      FA49
E00A                   289E4                      FA4A
E00B                   9344                       FA4B
E00C                   219DB                      FA4C
E00D                   82EE                       FA4D
E00E                   23CC8                      FA4E
E00F                   783C                       FA4F
E010                   6744                       FA50
E011                   62DF                       FA51
E012                   24933                      FA52
E013                   289AA                      FA53
E014                   202A0                      FA54
E015                   26BB3                      FA55
E016                   21305                      FA56
E017                   4FAB                       FA57
E018                   224ED                      FA58
E019                   5008                       FA59
E01A                   26D29                      FA5A
E01B                   27A84                      FA5B
E01C                   23600                      FA5C
E01D                   24AB1                      FA5D
E01E                   22513                      FA5E
E020                   2037E                      FA60
E021                   5FA4                       FA61
E022                   20380                      FA62
E023                   20347                      FA63
E024                   6EDB                       FA64
E025                   2041F                      FA65
E027                   5101                       FA67
E028                   347A                       FA68
E029                   510E                       FA69
E02A                   986C                       FA6A
E02B                   3743                       FA6B
E02C                   8416                       FA6C
E02D                   249A4                      FA6D
E02E                   20487                      FA6E
E02F                   5160                       FA6F
E030                   233B4                      FA70
E031                   516A                       FA71
E032                   20BFF                      FA72
E033                   220FC                      FA73
E034                   202E5                      FA74
E035                   22530                      FA75
E036                   2058E                      FA76
E037                   23233                      FA77
E038                   21983                      FA78
E039                   5B82                       FA79
E03A                   877D                       FA7A
E03B                   205B3                      FA7B
E03C                   23C99                      FA7C
E03D                   51B2                       FA7D
E03E                   51B8                       FA7E
E03F                   9D34                       FAA1
E040                   51C9                       FAA2
E041                   51CF                       FAA3
E042                   51D1                       FAA4
E043                   3CDC                       FAA5
E044                   51D3                       FAA6
E045                   24AA6                      FAA7
E046                   51B3                       FAA8
E047                   51E2                       FAA9
E048                   5342                       FAAA
